robot1
td(ms),wD,wI,id,x,y,z,id,x,y,z
100,0.000000,0.000000,2,-0.759807,0.229353,1.413057,3,0.539991,0.136934,0.514613
200,-0.000000,-0.000000,3,0.519717,0.132133,0.496118,2,-0.753464,0.229211,1.408418
300,-0.000000,-0.000000,3,0.539991,0.136934,0.514613,2,-0.753464,0.229211,1.408418
400,0.000000,0.000000,3,0.531642,0.134776,0.508435,2,-0.759935,0.233650,1.412823
500,-0.000000,-0.000000,3,0.539991,0.136934,0.514613,2,-0.768715,0.235268,1.407961
600,-0.000000,-0.000000,3,0.539991,0.136934,0.514613,2,-0.772433,0.239356,1.404925
700,-0.000000,-0.000000,2,-0.805992,0.255242,1.462767,3,0.539991,0.136934,0.514613
800,0.000000,0.000000,3,0.531642,0.134776,0.508435,2,-0.767394,0.258328,1.402730
900,-0.000000,-0.000000,3,0.539991,0.136934,0.514613,2,-0.769217,0.258446,1.401355
1000,-0.000000,-0.000000,3,0.539991,0.136934,0.514613,2,-0.767394,0.258328,1.402730
1100,-8.000000,8.000000,3,0.539991,0.136934,0.514613,2,-0.732243,0.249462,1.344783
1200,-0.000000,0.000000,3,0.539991,0.136934,0.514613,2,-9999.000000,-9999.000000,-9999.000000
1300,-0.000000,0.000000,3,0.531642,0.134776,0.508435,2,-0.721336,0.253989,1.351135
1400,-0.000000,0.000000,3,0.539991,0.136934,0.514613,2,-0.692935,0.250260,1.324104
1500,0.000000,0.000000,3,0.539991,0.136934,0.514613,2,-9999.000000,-9999.000000,-9999.000000
1600,0.000000,0.000000,2,-0.648426,0.246408,1.283895,3,0.539991,0.136934,0.514613
1700,0.000000,0.000000,2,-0.640167,0.248036,1.285803,3,0.539991,0.136934,0.514613
1800,0.000000,0.000000,2,-0.626122,0.250584,1.281191,3,0.531642,0.134776,0.508435
1900,0.000000,0.000000,2,-0.602991,0.246533,1.249002,3,0.531642,0.134776,0.508435
2000,0.000000,0.000000,2,-0.574052,0.241605,1.212247,3,0.531642,0.134776,0.508435
2100,-0.000000,-0.000000,2,-0.559920,0.240025,1.192399,3,0.531642,0.134776,0.508435
2200,0.000000,0.000000,2,-0.531839,0.234577,1.155142,3,0.531642,0.134776,0.508435
2300,-0.000000,-0.000000,2,-0.508405,0.231161,1.128529,3,0.539991,0.136934,0.514613
2400,0.000000,0.000000,2,-0.495015,0.233731,1.127818,3,0.539991,0.136934,0.514613
2500,0.000000,0.000000,2,-0.461713,0.223973,1.075761,3,0.531642,0.134776,0.508435
2600,-0.000000,-0.000000,2,-0.458504,0.227102,1.076092,3,0.539991,0.136934,0.514613
2700,0.000000,0.000000,2,-0.441058,0.221690,1.048458,3,0.539991,0.136934,0.514613
2800,0.000000,0.000000,2,-0.434570,0.223285,1.042586,3,0.528913,0.135139,0.506530
2900,0.000000,0.000000,2,-0.425495,0.220437,1.025493,3,0.539991,0.136934,0.514613
3000,-0.000000,-0.000000,2,-0.419981,0.222973,1.024087,3,0.539991,0.136934,0.514613
