robot1
td(ms),wD,wI,id,x,y,z,id,x,y,z
40,0.000000,0.000000,3,-0.086476,0.153004,1.605983,1,0.715390,0.139741,1.379865
80,0.000000,0.000000,3,-0.086476,0.153004,1.605983,1,0.735711,0.142790,1.420396
120,0.000000,0.000000,3,-0.086476,0.153004,1.605983,1,0.735711,0.142790,1.420396
160,0.000000,0.000000,3,-0.086476,0.153004,1.605983,1,0.715390,0.139741,1.379865
200,0.000000,0.000000,3,-0.086476,0.153004,1.605983,1,0.715390,0.139741,1.379865
240,0.000000,0.000000,3,-0.082810,0.146157,1.545693,1,0.715390,0.139741,1.379865
280,0.000000,0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
320,0.000000,0.000000,3,-0.086476,0.153004,1.605983,1,0.739176,0.143369,1.425882
360,0.000000,0.000000,3,-0.086476,0.153004,1.605983,1,0.715390,0.139741,1.379865
400,0.000000,0.000000,3,-0.086476,0.153004,1.605983,1,0.715390,0.139741,1.379865
440,0.000000,0.000000,3,-0.086476,0.153004,1.605983,1,0.715390,0.139741,1.379865
480,0.000000,0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
520,0.000000,0.000000,3,-0.086476,0.153004,1.605983,1,0.735711,0.142790,1.420396
560,0.000000,0.000000,3,-0.086476,0.153004,1.605983,1,0.736067,0.144804,1.419744
600,0.000000,0.000000,3,-0.086476,0.153004,1.605983,1,0.735711,0.142790,1.420396
640,0.000000,0.000000,3,-0.086476,0.153004,1.605983,1,0.715390,0.139741,1.379865
680,0.000000,0.000000,1,0.715390,0.139741,1.379865,900,-9999.000000,-9999.000000,-9999.000000
720,6.948901,0.000000,3,-0.048246,0.155125,1.551854,900,-9999.000000,-9999.000000,-9999.000000
760,6.948901,0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
800,6.948901,0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
840,0.061519,4.372133,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
880,0.061519,4.372133,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
920,5.579643,0.061216,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
960,5.579643,0.061216,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
1000,7.292066,5.491959,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
1040,7.292066,5.491959,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
1080,7.292066,5.491959,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
1120,8.260549,6.494917,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
1160,8.260549,6.494917,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
1200,8.792317,0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
1240,8.792317,0.000000,3,0.253749,0.160319,1.389664,900,-9999.000000,-9999.000000,-9999.000000
1280,8.678948,8.281137,3,0.282120,0.165558,1.424355,900,-9999.000000,-9999.000000,-9999.000000
1320,8.678948,8.281137,3,0.278504,0.164055,1.385881,900,-9999.000000,-9999.000000,-9999.000000
1360,8.212908,8.951990,1,1.032601,0.145182,1.053092,900,-9999.000000,-9999.000000,-9999.000000
1400,8.212908,8.951990,3,0.262986,0.147988,1.335778,900,-9999.000000,-9999.000000,-9999.000000
1440,8.212908,8.951990,3,0.270873,0.158458,1.413429,1,1.033468,0.136516,1.060091
1480,8.643946,9.809894,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
1520,8.643946,9.809894,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
1560,8.013270,9.643290,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
1600,8.013270,9.643290,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
1640,7.596008,10.420296,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
1680,7.596008,10.420296,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
1720,7.596008,10.420296,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
