robot1
td(ms),wD,wI,id,x,y,z,id,x,y,z
20,0.000000,0.000000,2,0.923340,-0.256693,1.006798,3,-0.420504,-0.168866,0.626214
40,0.000000,0.000000,2,0.923340,-0.256693,1.006798,3,-0.420504,-0.168866,0.626214
60,0.000000,0.000000,2,0.955627,-0.264908,1.040365,3,-0.420291,-0.168608,0.624907
80,0.000000,0.000000,2,0.956422,-0.264286,1.041464,3,-0.420504,-0.168866,0.626214
100,0.000000,0.000000,2,0.956422,-0.264286,1.041464,3,-0.420504,-0.168866,0.626214
120,0.000000,0.000000,2,0.923340,-0.256693,1.006798,3,-0.420504,-0.168866,0.626214
140,0.000000,0.000000,2,0.923340,-0.256693,1.006798,3,-0.420504,-0.168866,0.626214
160,0.000000,0.000000,2,0.984326,-0.272652,1.069934,3,-0.420291,-0.168608,0.624907
180,0.000000,0.000000,2,0.984326,-0.272652,1.069934,3,-0.420504,-0.168866,0.626214
200,0.000000,0.000000,2,0.984326,-0.272652,1.069934,3,-0.420504,-0.168866,0.626214
220,0.000000,0.000000,2,0.956422,-0.264286,1.041464,3,-0.419950,-0.168286,0.623424
240,0.000000,0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
260,0.000000,0.000000,2,0.943448,-0.262019,1.027285,3,-0.419950,-0.168286,0.623424
280,0.000000,0.000000,2,0.984326,-0.272652,1.069934,3,-0.419950,-0.168286,0.623424
300,0.000000,0.000000,2,0.984326,-0.272652,1.069934,3,-0.419950,-0.168286,0.623424
320,0.000000,0.000000,2,0.929370,-0.257450,1.013468,3,-0.420504,-0.168866,0.626214
340,0.000000,0.000000,2,0.929370,-0.257450,1.013468,3,-0.420504,-0.168866,0.626214
360,0.000000,0.000000,2,0.943448,-0.262019,1.027285,3,-0.420504,-0.168866,0.626214
380,0.000000,0.000000,2,0.943448,-0.262019,1.027285,3,-0.420504,-0.168866,0.626214
400,0.000000,0.000000,2,0.943448,-0.262019,1.027285,3,-0.420504,-0.168866,0.626214
420,0.000000,0.000000,2,0.955627,-0.264908,1.040365,3,-0.420504,-0.168866,0.626214
440,0.000000,0.000000,2,0.955627,-0.264908,1.040365,3,-0.420504,-0.168866,0.626214
460,0.000000,0.000000,2,0.992661,-0.274134,1.079185,3,-0.420504,-0.168866,0.626214
480,0.000000,0.000000,2,0.943448,-0.262019,1.027285,3,-0.420504,-0.168866,0.626214
500,0.000000,0.000000,2,0.943448,-0.262019,1.027285,3,-0.420504,-0.168866,0.626214
520,0.000000,0.000000,2,0.950522,-0.263039,1.035113,3,-0.420504,-0.168866,0.626214
540,0.000000,0.000000,2,0.992661,-0.274134,1.079185,3,-0.420504,-0.168866,0.626214
560,0.000000,0.000000,2,0.992661,-0.274134,1.079185,3,-0.420504,-0.168866,0.626214
580,0.000000,0.000000,2,0.950522,-0.263039,1.035113,3,-0.420291,-0.168608,0.624907
600,0.000000,0.000000,2,0.950522,-0.263039,1.035113,3,-0.420291,-0.168608,0.624907
620,0.000000,0.000000,2,0.923340,-0.256693,1.006798,3,-0.420504,-0.168866,0.626214
640,0.000000,0.000000,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
660,0.000000,0.000000,2,0.955627,-0.264908,1.040365,3,-0.419950,-0.168286,0.623424
680,0.000000,0.000000,2,0.923340,-0.256693,1.006798,3,-0.420504,-0.168866,0.626214
700,0.000000,0.000000,2,0.923340,-0.256693,1.006798,3,-0.420504,-0.168866,0.626214
720,0.000000,0.000000,2,0.923340,-0.256693,1.006798,3,-0.419950,-0.168286,0.623424
740,0.000000,0.000000,2,0.984326,-0.272652,1.069934,3,-0.419950,-0.168286,0.623424
760,0.000000,0.000000,2,0.984326,-0.272652,1.069934,3,-0.419950,-0.168286,0.623424
780,0.000000,0.000000,2,0.943448,-0.262019,1.027285,3,-0.420504,-0.168866,0.626214
800,0.000000,0.000000,2,0.943448,-0.262019,1.027285,3,-0.420504,-0.168866,0.626214
820,0.000000,0.000000,2,0.923340,-0.256693,1.006798,3,-0.420504,-0.168866,0.626214
840,0.000000,0.000000,2,0.950522,-0.263039,1.035113,3,-0.420504,-0.168866,0.626214
860,0.000000,0.000000,2,0.950522,-0.263039,1.035113,3,-0.420504,-0.168866,0.626214
880,0.000000,0.000000,2,0.943448,-0.262019,1.027285,3,-0.420504,-0.168866,0.626214
900,0.000000,0.000000,2,0.943448,-0.262019,1.027285,3,-0.420504,-0.168866,0.626214
920,0.000000,0.000000,2,0.955627,-0.264908,1.040365,3,-0.420504,-0.168866,0.626214
